name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,xGA60,xGA60_resid,d_adj_xGA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Anne Cherkowski,249,NY,F,14,258.93333333333334,2,3,1,-5,2,2.971886611049561,-1.1585993820803295,0.691019683918475,-0.21620891963503264,-0.07276413881408225,0.49572222805211874,0.0,0.0,0.0,0.6886451982349653,0.007276413881408226,0.6959216121163735,0.589,0.031,0.62,1.841,0.157,1.998,0.408,0.035,0.443,0.103,0.262,-0.0292,4.508,2025-26
Kristin O'Neill,30,NY,F,16,282.0,4,1,0,-4,8,2.9875927099739483,-0.851063829787234,0.6177928256730434,-0.3261731188267699,-0.18272833800581953,0.4252336448598131,0.0,0.0,0.0,0.6356580233987124,0.018272833800581954,0.6539308571992943,0.392,0.086,0.478,1.756,0.223,1.979,0.39,0.049,0.439,0.093,0.262,-0.0292,4.508,2025-26
Sophie Jaques,11,VAN,D,16,365.2833333333333,4,2,1,-3,0,3.0637546928341433,-0.4927681708262993,0.6721237076427041,-0.5667450172692611,-0.4233002364483107,0.49572222805211874,0.0,0.0,0.0,0.5032402652827903,0.04233002364483107,0.5455702889276214,-0.299,0.258,-0.041,1.469,0.436,1.905,0.326,0.097,0.423,0.069,0.262,-0.0292,4.508,2025-26
Sarah Wozniewicz,241,OTT,F,7,97.55,1,1,1,2,2,2.3673989034653835,1.2301383905689391,2.044895344873444,0.4548345020513531,0.5982792828723035,0.5091584771817329,0.0,0.0,0.0,1.4561141384717888,-0.05982792828723035,1.3962862101845586,1.469,-0.097,1.372,1.941,-0.05,1.891,0.431,-0.011,0.42,0.258,0.262,-0.0292,4.508,2025-26
Alex Carpenter,34,SEA,F,14,284.93333333333334,5,1,3,-3,2,3.0196889939544467,-0.6317267197005147,0.6932801646823018,-0.05696276729227978,0.0864820135286706,0.586046511627907,0.0,0.0,0.0,0.6358727408888634,-0.008648201352867061,0.6272245395359963,0.397,-0.041,0.356,1.775,0.098,1.873,0.394,0.022,0.416,0.088,0.262,-0.0292,4.508,2025-26
Taylor Heise,21,MIN,F,15,255.85,3,7,6,11,6,2.7582720952950806,2.5796365057650967,0.546318064714484,-0.3974827611535424,-0.25403798033259206,0.4338235294117647,0.0,0.0,0.0,0.6468490354414885,0.025403798033259206,0.6722528334747477,0.403,0.108,0.511,1.641,0.233,1.874,0.364,0.052,0.416,0.098,0.262,-0.0292,4.508,2025-26
Hannah Bilka,181,SEA,F,14,251.2,4,3,2,-6,2,2.751433082768204,-1.4331210191082804,0.6489099223935771,-0.2862164269126324,-0.142771646091682,0.4488275570097946,0.0,0.0,0.0,0.657189430597501,0.0142771646091682,0.6714665952066692,0.439,0.06,0.499,1.655,0.182,1.837,0.367,0.04,0.407,0.097,0.262,-0.0292,4.508,2025-26
Britta Curl-Salemme,189,MIN,F,12,215.33333333333334,5,5,4,13,6,2.555783112648818,3.6222910216718263,0.6694204939045477,-0.19923536464712477,-0.055790583826174384,0.5454545454545454,0.0,0.0,0.0,0.7121377094067914,0.005579058382617439,0.7177167677894088,0.574,0.02,0.594,1.615,0.125,1.74,0.358,0.028,0.386,0.108,0.262,-0.0292,4.508,2025-26
Maddi Wheeler,285,NY,F,11,165.46666666666667,1,3,1,2,10,2.3408394139332707,0.7252215954875101,0.8851312314412613,-0.1628253537161496,-0.019380572895199205,0.5,0.0,0.0,0.0,0.8488136472763672,0.0019380572895199206,0.8507517045658871,0.818,0.005,0.823,1.618,0.086,1.704,0.359,0.019,0.378,0.137,0.262,-0.0292,4.508,2025-26
Abby Hustler,247,MIN,F,12,193.53333333333333,2,3,2,7,0,2.4036195802762834,2.1701687909059593,0.6987588498038825,-0.22562051600586897,-0.08217573518491858,0.5242021329662908,0.0,0.0,0.0,0.7451800283322959,0.008217573518491858,0.7533976018507877,0.622,0.027,0.649,1.559,0.121,1.68,0.346,0.027,0.373,0.116,0.262,-0.0292,4.508,2025-26
