Name,PlayerID,Team,position,GP,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,pm60_resid,d_adj_pm60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,o_replacement_val60,d_replacement_val60,goals_per_win
Shay Maloney,183,BOS,C,28,364.1666666666667,2,1,3,0,8,4.297875850265455,0.0,0.061901387238737726,-0.11897757189214617,0.7081168448949948,-0.011897757189214618,0.6962190877057802,1.669,-0.072,1.597,3.243,0.445,3.688,0.642,0.088,0.73,0.1737,-0.0852,5.0492
Julia Gosling,210,TOR,F,29,391.3333333333333,4,3,3,2,6,4.065875714058623,0.30664395229982966,0.4148138162631104,0.23393485713222653,0.6233880992594141,0.023393485713222653,0.6467815849726367,1.241,0.153,1.394,2.933,0.709,3.642,0.581,0.14,0.721,0.1737,-0.0852,5.0492
Susanna Tapani,78,BOS,C,28,602.5833333333333,10,4,3,-4,8,4.744248026244588,-0.39828516111187945,-0.20765909567179575,-0.38853805480267967,0.4723908973718855,-0.03885380548026797,0.43353709189161754,0.394,-0.39,0.004,2.999,0.466,3.465,0.594,0.092,0.686,0.1737,-0.0852,5.0492
Ronja Savolainen,223,OTT,D,27,455.9,2,7,1,10,18,3.089977366118436,1.3160780872998463,1.5425955161884812,1.3617165570575973,0.4066651501800969,0.13617165570575973,0.5428368058858566,-0.201,1.035,0.834,1.77,1.682,3.452,0.351,0.333,0.684,0.1737,-0.0852,5.0492
Lina Ljungblom,201,MTL,F,29,380.1166666666667,3,2,1,-3,8,4.140880077450792,-0.4735388257990968,-0.38187929132128895,-0.5627582504521729,0.6536224965503069,-0.05627582504521729,0.5973466715050896,1.397,-0.357,1.04,3.04,0.183,3.223,0.602,0.036,0.638,0.1737,-0.0852,5.0492
Noora Tulus,231,NY,F,28,318.45,1,1,0,-12,6,3.2953143688000366,-2.260951483749411,-2.151411361649681,-2.3322903207805648,0.6208788259632664,-0.23322903207805648,0.3876497938852099,0.996,-1.238,-0.242,2.373,-0.785,1.588,0.47,-0.155,0.625,0.1737,-0.0852,5.0492
Renata Fast,67,TOR,D,29,734.0833333333333,5,6,11,-1,36,4.206779518053282,-0.08173458962424793,0.17909058041604767,-0.0017883787148362251,0.34383939754777654,-0.0001788378714836225,0.34366055967629294,-1.093,-0.002,-1.095,2.081,1.041,3.122,0.412,0.206,0.618,0.1737,-0.0852,5.0492
Mikyla Grant-Mentis,138,MTL,F,30,388.98333333333335,3,3,1,4,18,3.284868353150651,0.616993015981833,0.7888917238432462,0.6080127647123623,0.5066852080784242,0.06080127647123623,0.5674864845496604,0.477,0.394,0.871,2.159,0.947,3.106,0.428,0.188,0.616,0.1737,-0.0852,5.0492
Catherine Dubois,157,MTL,F,24,228.21666666666667,6,2,1,-1,27,3.5924618701923023,-0.2629080552106916,-0.33008322295296233,-0.5109621820838463,0.9444871637108222,-0.05109621820838463,0.8933909455024376,1.945,-0.194,1.751,2.932,0.13,3.062,0.581,0.026,0.607,0.1737,-0.0852,5.0492
Jade Downie-Landry,35,NY,F,28,325.5833333333333,5,2,0,0,31,3.53302273042421,0.0,0.09304698383682625,-0.08783197529405765,0.6510817419773308,-0.008783197529405765,0.642298544447925,1.183,-0.048,1.135,2.59,0.415,3.005,0.513,0.082,0.595,0.1737,-0.0852,5.0492
Alina Müller,15,BOS,LW,24,423.25,7,7,2,0,6,3.523099349938909,0.0,0.17585775919066216,-0.005021199940221738,0.4994352297609794,-0.0005021199940221738,0.49893310976695726,0.468,-0.004,0.464,2.298,0.598,2.896,0.455,0.118,0.573,0.1737,-0.0852,5.0492
Gabbie Hughes,57,OTT,F,28,518.5666666666666,5,7,3,-3,16,3.8823442329879696,-0.3471106254419233,-0.1438210628276957,-0.3247000219585796,0.449200978297766,-0.03247000219585796,0.41673097610190807,0.139,-0.281,-0.142,2.381,0.456,2.837,0.472,0.09,0.562,0.1737,-0.0852,5.0492
Dominique Petrie,195,MIN,F,17,259.5333333333333,3,4,2,2,4,3.0669764429337727,0.46236835345491917,0.5237675790695596,0.3428886199386757,0.7090364240021566,0.03428886199386757,0.7433252859960242,1.193,0.148,1.341,2.316,0.517,2.833,0.459,0.102,0.561,0.1737,-0.0852,5.0492
Kristin O'Neill,30,MTL,F,30,472.93333333333334,1,2,2,-12,24,3.6309686973707405,-1.5224133070200168,-1.3253773951581609,-1.5062563542890448,0.460652921854196,-0.1506256354289045,0.3100272864252915,0.217,-1.187,-0.97,2.262,-0.515,1.747,0.448,-0.102,0.55,0.1737,-0.0852,5.0492
Natalie Spooner,100,TOR,F,13,228.03333333333333,3,1,1,-1,0,3.222335517504586,-0.26311942698435903,-0.2775281523138506,-0.45840711144473445,0.8478590749171546,-0.045840711144473446,0.8020183637726812,1.576,-0.174,1.402,2.562,0.15,2.712,0.507,0.03,0.537,0.1737,-0.0852,5.0492
Erin Ambrose,83,MTL,D,28,602.3166666666666,0,5,7,10,4,2.4608480310657352,0.9961537397271646,1.3108773776786404,1.1299984185477565,0.24513829690463623,0.11299984185477566,0.3581381387594119,-1.887,1.134,-0.753,0.717,1.99,2.707,0.142,0.394,0.536,0.1737,-0.0852,5.0492
