season,PlayerID,name,team,pos,GP,TOI,xG_season,actual_goals,changed_team
2024-25,74,Allie Munroe,TOR,D,29,549.4333333333334,1.91126720200827,1,False
2024-25,75,Sarah Nurse,TOR,F,21,407.0833333333333,6.955231727021614,6,False
2024-25,76,Blayre Turnbull,TOR,F,29,548.0666666666666,7.638978912391691,5,False
2024-25,78,Susanna Tapani,BOS,F,28,602.5833333333333,5.1847659156353805,10,False
2024-25,79,Maggie Flaherty,MIN,D,20,302.51666666666665,2.106000490667746,1,False
2024-25,82,Dominika Laskova,MTL,D,5,50.75,0.06927036093072782,0,False
2024-25,83,Erin Ambrose,MTL,D,28,602.3166666666666,3.181916097535828,0,False
2024-25,84,Kati Tabin,MTL,D,28,521.65,3.055541999859102,4,False
2024-25,86,Emma Woods,TOR,F,29,334.6166666666667,2.657151711963364,3,False
2024-25,87,Jaime Bourbonnais,NY,D,28,650.9833333333333,3.6235626195360595,2,False
2024-25,88,Katerina Mrazova,OTT,F,13,215.46666666666667,2.7694910460944393,3,False
2024-25,89,Hannah Miller,TOR,F,28,504.5333333333333,6.296212228105727,10,False
2024-25,90,Natalie Buchbinder,MIN,D,17,301.06666666666666,1.412988189187769,0,False
2024-25,91,Brooke Bryant,MIN,F,20,155.76666666666665,1.0228420073764126,1,False
2024-25,97,Liz Schepers,MIN,F,25,270.1,3.0643584792755734,2,False
2024-25,98,Maureen Murphy,MTL,F,28,370.3333333333333,3.9955795813792236,3,False
2024-25,99,Mariah Keopple,MTL,D,29,496.18333333333334,1.3406104925538744,3,False
2024-25,100,Natalie Spooner,TOR,F,13,228.03333333333333,3.7439527387679488,3,False
2024-25,101,Alexa Vasko,OTT,F,23,206.55,2.147520698153202,2,False
2024-25,102,Claire Butorac,MIN,F,25,265.66666666666663,1.5836002894700056,2,False
2024-25,104,Denisa Krizova,MIN,F,28,417.5333333333333,6.101643617409492,4,False
2024-25,108,Samantha Isbell,OTT,D,3,23.78333333333333,0.20660853821852754,0,False
2024-25,110,Amanda Pelkey,BOS,F,23,212.73333333333332,2.4266377539761406,2,False
2024-25,114,Abby Boreen,MTL,F,30,464.05,5.223808593189671,6,False
2024-25,115,Michela Cava,MIN,F,28,458.6166666666667,6.879022929890883,8,False
2024-25,116,Clair DeGeorge,MTL,F,26,222.21666666666667,1.2691215046454,0,False
2024-25,118,Emma Greco,BOS,D,26,290.8666666666667,0.9832334723685059,0,False
2024-25,125,Victoria Bach,OTT,F,30,363.76666666666665,3.6706244847042226,4,True
2024-25,128,Kaitlin Willoughby,TOR,F,27,167.36666666666667,1.1595315871518361,0,True
2024-25,129,Mellissa Channell-Watkins,MIN,D,27,474.5333333333333,2.603687709143965,1,False
2024-25,131,Olivia Knowles,NY,D,6,21.93333333333333,0.0,0,False
2024-25,132,Jessica Kondas,TOR,D,1,7.4,0.08796680887307938,1,False
2024-25,138,Mikyla Grant-Mentis,MTL,F,30,388.98333333333335,4.063146595444506,3,False
2024-25,142,Natalie Snodgrass,OTT,F,20,173.61666666666667,2.0016084457950343,1,False
2024-25,149,Jill Saulnier,BOS,F,22,265.3,1.6595088908008508,2,True
2024-25,150,Taylor Baker,NY,D,3,31.799999999999994,1.261104645985661,0,False
2024-25,156,Gabrielle David,MTL,F,3,15.95,0.1625816710214783,0,False
2024-25,157,Catherine Dubois,MTL,F,24,228.21666666666667,4.8451104125312074,6,False
2024-25,161,Tereza Vanisova,OTT,F,29,465.95,11.668404486660783,14,False
2024-25,163,Catherine Daoust,MTL,D,1,2.6666666666666665,4.8451104125312074,0,False
2024-25,167,Sidney Morin,BOS,D,28,554.0666666666666,3.386408567346713,3,False
2024-25,169,Claire Thompson,MIN,D,28,615.8333333333334,5.066480453013431,4,False
2024-25,175,Kelly Babstock,BOS,F,9,71.46666666666667,0.670551697901502,0,False
2024-25,180,Sydney Bard,BOS,D,25,427.59999999999997,1.1665317824256123,1,False
2024-25,181,Hannah Bilka,BOS,F,16,327.8833333333333,3.251431811936912,5,False
2024-25,182,Hadley Hartmetz,BOS,D,2,7.7,0.0,0,False
2024-25,183,Shay Maloney,BOS,F,28,364.1666666666667,4.8251453817891194,2,False
2024-25,185,Daniela Pejsova,BOS,D,26,327.4,1.4626636022965724,0,False
2024-25,187,Charlotte Akervik,MIN,D,1,8.23333333333333,0.0,0,False
2024-25,188,Mae Batherson,MIN,D,23,364.4166666666667,1.4425751648099787,0,False
2024-25,189,Britta Curl-Salemme,MIN,F,26,433.93333333333334,7.022144151667331,10,False
2024-25,190,Klara Hymlarova,MIN,F,27,324.4166666666667,2.688295165866966,2,False
2024-25,191,Katy Knoll,MIN,F,20,155.88333333333333,2.1186259497724933,1,False
2024-25,192,Brooke McQuigge,MIN,F,27,359.6666666666667,5.756606775214105,8,False
2024-25,194,Kaitlyn O'Donohoe,MIN,F,6,42.88333333333333,0.46936982631924407,0,False
2024-25,195,Dominique Petrie,MIN,F,17,259.5333333333333,3.2227715625812046,3,False
2024-25,196,Cayla Barnes,MTL,D,30,654.35,3.9545016085192084,2,False
2024-25,198,Jennifer Gardiner,MTL,F,30,525.75,6.199854347299776,5,False
2024-25,199,Dara Greig,MTL,F,29,230.5333333333333,1.5341445676928067,0,False
2024-25,200,Anna Kjellbin,MTL,D,25,276.7,0.9966758420032076,0,True
2024-25,201,Lina Ljungblom,MTL,F,29,380.1166666666667,5.0914886849167305,3,False
2024-25,202,Kelly Ann Nadeau,MTL,D,4,36.71666666666667,0.04854239554109362,0,False
2024-25,203,Anna Wilgren,MTL,D,30,497.68333333333334,1.8068369473544763,3,False
2024-25,204,Emmy Fecteau,NY,F,28,222.89999999999998,2.1757884019554994,1,False
2024-25,205,Sarah Fillier,NY,F,28,568.3166666666666,9.306316163169722,12,False
2024-25,206,Elle Hartje,NY,F,25,414.3,3.197670680344914,0,False
2024-25,207,Lauren Bernard,TOR,D,20,153.11666666666667,0.30348204035106174,0,True
2024-25,208,Megan Carter,TOR,D,18,317.23333333333335,1.1137783819107336,0,False
2024-25,209,Izzy Daniel,TOR,F,29,394.35,3.3105933516384054,2,False
2024-25,210,Julia Gosling,TOR,F,29,391.3333333333333,5.706994863226908,4,False
2024-25,212,Laura Kluge,TOR,F,12,50.449999999999996,0.43062367536192897,0,False
2024-25,213,Anneke Rankila,TOR,F,3,5.15,0.15176141509543087,0,False
2024-25,214,Noemi Neubauerova,TOR,F,19,87.48333333333333,0.3702244305859985,0,False
2024-25,215,Jessica Adolfsson,OTT,D,1,0.75,0.0,0,False
2024-25,217,Taylor House,OTT,F,11,93.98333333333333,0.6705306643072574,1,False
2024-25,219,Stephanie Markowski,OTT,D,26,325.5833333333333,1.3386090469703744,1,False
2024-25,220,Mannon McMahon,OTT,F,29,418.06666666666666,3.886973133205642,3,False
2024-25,221,Anna Meixner,OTT,F,27,312.95,3.3380485718248867,1,False
2024-25,223,Ronja Savolainen,OTT,D,27,455.9,4.628758002783347,2,False
2024-25,224,Danielle Serdachny,OTT,F,29,448.5833333333333,4.79518546908338,1,False
2024-25,227,Gabby Rosenthal,NY,F,27,369.01666666666665,3.1811896420488313,1,False
2024-25,229,Maja Nylen Persson,NY,D,21,409.8333333333333,2.133239135358594,2,False
2024-25,230,Allyson Simpson,NY,D,28,595.4333333333333,2.7866961295400987,1,False
2024-25,231,Noora Tulus,NY,F,28,318.45,3.432856258933409,1,False
2024-25,232,Rylind MacKinnon,TOR,D,21,246.63333333333333,0.8498152392425435,0,False
2025-26,1,Hannah Brandt,BOS,F,16,158.93333333333334,2.6378586481126423,1,False
2025-26,2,Emily Brown,SEA,D,14,266.5833333333333,1.0162675503771903,0,False
2025-26,4,Shiann Darkangelo,MTL,F,25,224.63333333333333,6.015485316188613,4,False
2025-26,5,Jessica DiGirolamo,MTL,D,18,272.5333333333333,1.983253997904624,1,False
2025-26,9,Taylor Girard,NY,F,11,179.45,3.5561756741980504,7,False
2025-26,11,Sophie Jaques,VAN,D,27,365.2833333333333,8.1951086827247,9,False
2025-26,12,Megan Keller,BOS,D,27,375.75,5.787061740454518,7,False
2025-26,13,Hilary Knight,SEA,F,20,285.1,5.953115602240321,4,False
2025-26,15,Alina Muller,BOS,F,27,286.2,7.029403359291208,4,False
2025-26,16,Jamie Lee Rattray,BOS,F,19,213.53333333333333,3.4004542067760157,3,False
2025-26,17,Theresa Schafzahl,BOS,F,23,212.36666666666667,4.700193064682586,4,False
2025-26,18,Sophie Shirley,BOS,F,14,130.7,1.5649880314137636,3,False
2025-26,20,Kendall Coyne Schofield,MIN,F,22,250.66666666666666,7.3188613514484855,11,False
2025-26,21,Taylor Heise,MIN,F,30,255.85,7.533645689409025,13,False
2025-26,23,Kelly Pannek,MIN,F,27,256.8666666666667,5.810907680008424,16,False
2025-26,24,Lee Stecklein,MIN,D,20,314.48333333333335,3.563085359471428,2,False
2025-26,25,Grace Zumwinkle,MIN,F,28,248.18333333333334,8.48816183553968,13,False
