Name,PlayerID,Team,position,GP,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,pm60_resid,d_adj_pm60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win
Erin Ambrose,83,MTL,D,28,602.3166666666666,0,5,7,10,4,2.4608480310657352,0.9961537397271646,0.8545182978993873,0.8545182978993873,0.24513829690463623,0.3076265872437794,0.5527648841484156,-1.899,3.088,1.189,0.257,5.424,5.681,0.051,1.074,1.125,0.112,0.2195,-0.2327,5.0492
Britta Curl-Salemme,189,MIN,F,26,433.93333333333334,10,2,2,3,22,5.839944447547824,0.4148102627131664,-0.20375479447962624,-0.20375479447962622,0.8074896301725367,-0.07335172601266543,0.7341379041598712,2.699,-0.53,2.169,4.252,1.152,5.404,0.842,0.228,1.07,0.148,0.2195,-0.2327,5.0492
Renata Fast,67,TOR,D,29,734.0833333333333,5,6,11,-1,36,4.206779518053282,-0.08173458962424793,0.22598275219660935,0.22598275219660938,0.34383939754777654,0.08135379079077937,0.4251931883385559,-1.107,0.995,-0.112,1.521,3.842,5.363,0.301,0.761,1.062,0.087,0.2195,-0.2327,5.0492
Julia Gosling,210,TOR,F,29,391.3333333333333,4,3,3,2,6,4.065875714058623,0.30664395229982966,0.4691641661735104,0.4691641661735105,0.6233880992594141,0.16889909982246376,0.7922871990818778,1.233,1.102,2.335,2.634,2.619,5.253,0.522,0.519,1.041,0.16,0.2195,-0.2327,5.0492
Kelly Pannek,23,MIN,F,28,501.71666666666664,3,6,1,3,12,5.466410882052915,0.35876822908015815,-0.17993165883308893,-0.1799316588330889,0.6537248505262099,-0.064775397179912,0.5889494533462979,1.835,-0.542,1.293,3.631,1.404,5.035,0.719,0.278,0.997,0.119,0.2195,-0.2327,5.0492
Abby Roque,42,NY,F,28,616.5,6,5,5,-8,6,6.739846118762872,-0.7785888077858881,-0.5013017137687749,-0.5013017137687749,0.6559460942834913,-0.18046861695675895,0.4754774773267323,2.277,-1.854,0.423,4.484,0.537,5.021,0.888,0.106,0.994,0.097,0.2195,-0.2327,5.0492
Mae Batherson,188,MIN,D,23,364.4166666666667,0,1,2,12,6,0.966950168529825,1.9757603475874683,1.6939131646843557,1.6939131646843557,0.1592051500895207,0.609808739286368,0.7690138893758887,-1.671,3.704,2.033,-0.366,5.117,4.751,-0.072,1.013,0.941,0.155,0.2195,-0.2327,5.0492
Hannah Brandt,1,BOS,C,28,439.05,3,3,3,5,14,2.3574455310319555,0.683293474547318,0.8527620577024961,0.8527620577024961,0.32216542959097444,0.3069943407728986,0.629159770363873,-0.821,2.246,1.425,0.751,3.949,4.7,0.149,0.782,0.931,0.127,0.2195,-0.2327,5.0492
Micah Zandee-Hart,47,NY,D,28,678.85,1,3,4,-3,16,3.690047784391367,-0.2651543050747588,0.1834314352217779,0.18343143522177793,0.32614401865431536,0.06603531667984006,0.3921793353341554,-1.224,0.747,-0.477,1.206,3.38,4.586,0.239,0.669,0.908,0.08,0.2195,-0.2327,5.0492
Taylor Heise,21,MIN,F,27,469.96666666666664,7,9,6,3,6,4.789500501833756,0.38300588694233634,-0.13374636346709906,-0.13374636346709903,0.6114689625718676,-0.04814869084815565,0.5633202717237119,1.388,-0.377,1.011,3.07,1.445,4.515,0.608,0.286,0.894,0.114,0.2195,-0.2327,5.0492
